id,session_id,page_url,viewed_at,duration_seconds
132,5,/contact,2024-06-22 17:38:53,125
133,83,/products,2023-07-04 13:55:15,278
134,100,/faq,2024-04-21 16:38:58,257
135,197,/products/grinders,2024-06-04 04:01:57,147
136,83,/about,2023-07-04 13:34:00,59
137,25,/products,2024-01-19 19:03:51,25
138,34,/ ,2023-11-24 14:12:23,106
139,28,/cart,2023-05-16 17:46:55,53
140,9,/blog,2024-01-16 18:14:32,253
141,135,/ ,2024-05-16 10:32:10,190
142,57,/products,2024-05-26 19:19:18,9
143,54,/reviews,2023-10-10 06:41:11,43
144,120,/ ,2023-04-06 17:21:38,187
145,143,/contact,2024-04-21 23:24:23,32
146,158,/faq,2023-06-13 16:24:39,23
147,188,/account/orders,2023-10-30 05:34:41,42
148,56,/products/espresso,2023-10-10 05:28:59,54
149,186,/shipping-info,2023-05-06 16:08:42,200
150,49,/faq,2023-03-03 05:43:42,130
151,146,/products/beans,2023-02-18 20:10:21,288
152,192,/promotions,2023-02-14 16:27:30,57
153,197,/contact,2024-06-04 04:07:54,237
154,180,/promotions,2023-05-01 06:02:18,56
155,43,/shipping-info,2024-04-25 04:51:42,208
156,130,/products/beans,2024-06-22 15:45:51,276
157,154,/contact,2023-04-18 23:03:39,164
158,141,/contact,2023-04-15 00:05:48,214
159,196,/about,2023-01-01 05:35:59,126
160,145,/cart,2024-01-11 13:46:38,195
161,197,/account,2024-06-04 04:01:52,187
162,116,/blog,2023-12-06 23:23:01,3
163,186,/account/orders,2023-05-06 16:05:21,11
164,133,/account/orders,2023-04-15 07:56:57,6
165,77,/cart,2023-08-11 02:35:18,164
166,6,/account,2023-10-25 22:46:36,286
167,131,/products/grinders,2023-11-29 16:32:41,51
168,10,/contact,2023-01-15 20:46:21,82
169,36,/contact,2024-01-10 22:18:50,130
170,60,/account/orders,2023-03-25 02:03:09,50
171,147,/cart,2023-06-10 15:00:10,42
172,186,/reviews,2023-05-06 16:10:18,91
173,125,/products/espresso,2024-03-02 08:15:56,156
174,10,/blog,2023-01-15 20:55:35,43
175,200,/about,2023-06-25 18:34:52,181
176,112,/products/espresso,2023-01-14 03:20:39,119
177,192,/,2023-02-14 16:40:25,198
178,14,/faq,2023-03-26 00:04:26,24
179,82,/products/grinders,2024-03-12 11:31:25,170
180,129,/checkout,2023-09-04 20:45:11,81
181,13,/gift-cards,2024-02-20 09:02:51,297
182,130,/checkout,2024-06-22 15:12:04,224
183,75,/products/grinders,2023-03-31 16:12:25,70
184,87,/reviews,2023-10-13 15:22:44,295
185,191,/shipping-info,2024-04-21 21:15:36,207
186,68,/blog,2024-01-27 13:29:13,259
187,112,/products/grinders,2023-01-14 03:39:51,72
188,124,/cart,2023-03-31 01:02:13,252
189,102,/cart,2023-08-08 16:21:38,290
190,158,/checkout,2023-06-13 16:59:56,127
191,19,/promotions,2024-02-02 09:14:14,168
192,176,/products,2023-06-30 15:39:53,60
193,172,/promotions,2024-06-11 02:12:15,190
194,90,/about,2023-02-01 13:41:37,179
195,153,/,2024-01-14 05:14:55,159
196,44,/gift-cards,2023-09-26 14:01:59,77
197,113,/checkout,2024-04-25 06:52:48,105
198,176,/products/grinders,2023-06-30 15:12:17,46
199,29,/ ,2023-08-31 22:07:27,127
200,159,/account/orders,2023-07-09 06:21:52,10
201,88,/account/orders,2023-05-31 07:11:06,233
202,121,/about,2024-03-01 06:37:13,110
203,190,/cart,2023-10-16 01:01:14,107
204,140,/account,2023-10-12 03:56:55,283
205,124,/products/grinders,2023-03-31 01:04:23,12
206,97,/faq,2024-05-30 06:06:50,25
207,66,/ ,2023-05-18 15:40:49,148
208,52,/account,2023-03-12 16:00:01,30
209,120,/,2023-04-06 17:21:46,37
210,100,/account,2024-04-21 17:43:12,187
211,28,/account/orders,2023-05-16 16:43:15,200
212,60,/faq,2023-03-25 02:07:24,53
213,81,/shipping-info,2023-10-06 15:25:40,48
214,48,/faq,2024-01-29 17:57:38,237
215,144,/ ,2023-05-04 16:07:59,129
216,136,/about,2024-02-23 08:44:28,253
217,101,/,2023-09-07 06:52:41,180
218,176,/contact,2023-06-30 15:09:17,157
219,61,/account,2023-11-02 04:24:23,34
220,161,/blog,2023-05-10 04:58:27,18
221,143,/checkout,2024-04-21 23:05:51,80
222,88,/products/grinders,2023-05-31 07:30:20,47
223,187,/faq,2024-03-03 16:21:15,119
224,107,/products/grinders,2023-06-09 16:49:40,221
225,80,/about,2023-02-18 05:45:11,232
226,139,/cart,2023-07-22 10:32:24,73
227,149,/cart,2024-02-10 00:19:37,73
228,80,/products/grinders,2023-02-18 05:34:03,223
229,198,/products/beans,2023-01-12 22:46:58,165
230,18,/shipping-info,2024-04-28 19:03:36,63
231,48,/products/grinders,2024-01-29 18:01:41,18
232,196,/promotions,2023-01-01 05:32:10,213
233,78,/account,2023-10-23 20:11:21,80
234,200,/products/espresso,2023-06-25 18:52:53,70
235,48,/account,2024-01-29 17:51:44,293
236,157,/checkout,2023-09-14 12:21:39,121
237,176,/contact,2023-06-30 14:24:48,43
238,177,/reviews,2023-11-14 10:10:13,71
239,129,/reviews,2023-09-04 20:55:18,194
240,48,/reviews,2024-01-29 18:04:04,245
241,36,/cart,2024-01-10 22:05:01,118
242,9,/,2024-01-16 18:03:27,141
243,106,/cart,2024-06-04 16:27:31,107
244,17,/gift-cards,2023-08-22 21:25:08,253
245,177,/gift-cards,2023-11-14 09:54:41,129
246,110,/ ,2023-07-15 16:49:35,197
247,185,/blog,2024-05-27 02:00:43,295
248,153,/faq,2024-01-14 04:58:38,22
249,134,/gift-cards,2023-12-12 22:11:54,236
250,11,/faq,2023-01-18 01:03:06,278
251,102,/ ,2023-08-08 16:22:00,288
252,100,/ ,2024-04-21 17:23:31,100
253,75,/blog,2023-03-31 16:18:35,158
254,199,/gift-cards,2023-08-09 23:59:56,88
255,109,/ ,2023-09-15 15:39:52,267
256,37,/gift-cards,2023-10-23 00:07:20,49
257,185,/products/espresso,2024-05-27 02:03:55,95
258,200,/products/grinders,2023-06-25 19:41:50,204
259,106,/gift-cards,2024-06-04 16:41:17,15
260,46,/cart,2023-12-31 13:12:43,235
261,24,/about,2023-01-10 22:14:05,86
262,184,/products,2023-08-27 04:42:32,61
263,181,/contact,2024-02-21 10:13:50,46
264,135,/faq,2024-05-16 10:49:40,84
265,97,/blog,2024-05-30 06:04:37,25
266,197,/about,2024-06-04 03:35:58,292
267,169,/products/beans,2024-04-15 07:35:09,77
268,46,/ ,2023-12-31 13:55:47,217
269,79,/gift-cards,2023-07-27 09:32:23,150
270,161,/products/espresso,2023-05-10 04:55:50,70
271,52,/account,2023-03-12 14:25:24,9
272,118,/reviews,2023-08-18 03:55:45,281
273,2,/reviews,2024-01-06 20:04:40,124
274,56,/reviews,2023-10-10 05:38:27,235
275,105,/products,2024-02-22 21:34:58,6
276,63,/account,2023-12-16 22:38:12,288
277,54,/products/beans,2023-10-10 05:18:20,78
278,15,/contact,2023-12-12 03:21:42,21
279,38,/account/orders,2024-06-15 15:24:35,172
280,23,/products/espresso,2024-06-18 13:09:43,216
281,46,/account/orders,2023-12-31 12:32:48,296
282,144,/gift-cards,2023-05-04 16:13:18,299
283,93,/products,2024-04-30 17:45:39,156
284,83,/blog,2023-07-04 13:31:11,37
285,195,/shipping-info,2024-04-22 20:12:56,36
286,75,/products/grinders,2023-03-31 16:22:51,65
287,178,/account,2024-03-24 23:26:20,171
288,135,/faq,2024-05-16 10:53:43,110
289,179,/ ,2024-05-23 09:44:34,58
290,147,/faq,2023-06-10 15:22:41,47
291,124,/account/orders,2023-03-31 01:06:38,221
292,156,/account,2023-10-09 09:02:42,272
293,148,/contact,2023-02-06 01:44:44,69
294,158,/faq,2023-06-13 16:56:08,257
295,127,/products/beans,2024-03-27 00:00:23,122
296,182,/cart,2023-11-05 17:44:35,3
297,31,/gift-cards,2023-10-05 16:50:53,63
298,189,/promotions,2024-04-11 05:37:18,214
299,12,/contact,2024-05-20 07:42:39,289
300,164,/,2023-05-13 11:42:57,106
